Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
EY,http://www.ey.com,,Accounting,"10,001+ employees", ,Privately Held, ,"200 George St, Sydney NSW 2000, Australia",-33.862643,151.207977,"Advisory, Assurance, Tax, Transactions, Audit, Mergers, M&A, Financial Services, Accounting, Professional Services, Law, Technology, Consulting, Data, Transformation, Strategy, Legal, Digital transformation, and Legal"
Baker Tilly US,http://www.bakertilly.com,,Accounting,"1,001-5,000 employees", ,Partnership, , , , ,"Assurance, Tax, Analytics, Governance, Risk, and Compliance, Government Contracts, Growth Strategies, Human Capital, Litigation Support, Performance Optimization, Recruiting Solutions, Renewable Energy, Technology, and Transaction Advisory"
Chartered Accountants Australia and New Zealand,https://store.charteredaccountantsanz.com/,1300 137 322,Accounting,201-500 employees,"Sydney, NSW",Educational Institution, , , , ,"Accounting, Tax, Superannuation, Financial Planning, Education & Training, Professional Standards, Policy and Advocacy, Thought Leadership, and Audit"
CPA Australia,http://www.cpaaustralia.com.au,,Accounting,201-500 employees,"Southbank, Victoria",Nonprofit,1886,"28 Freshwater Pl, Southbank, Victoria 3006, AU",-37.822401,144.962062,"financial reporting, taxation, corporate governance, auditing, external reporting, insolvency and reconstruction, management accounting, treasury, information technology, and financial planning"
MDD Forensic Accountants,http://www.mdd.com,,Accounting,201-500 employees,,Partnership,1933, , , ,"Economic Damage Quantification Assessments, Litigation Services, Including Expert Witness Testimony, Forensic Accounting, Business Valuation, Business Interruption, Catastrophe Services, and Fraud & Investigations"
BDO in Australia,http://www.bdo.com.au,,Accounting,"1,001-5,000 employees","Brisbane, Queensland",Partnership,, ,-34.002495,150.861309,"Audit, Tax, Corporate Finance, Forensic Services, Consulting, Private Wealth, Transfer Pricing, Business Services, Accounting Outsourcing, Financial Management Consulting, International Business, Migration Services, Risk Advisory Services, and Business Restructuring"
Chartered Accountants ANZ Events,https://www.charteredaccountantsanz.com/,,Accounting,201-500 employees,"Sydney, NSW",Educational Institution,, , , , 
Pitcher Partners,http://www.pitcher.com.au,,Accounting,"1,001-5,000 employees","Docklands, VIC",Partnership,1991, ,-37.774119,145.028017,"Audit and Assurance, Accounting, IT Consulting, Superannuation, Taxation, Investment Advisory, Personal Wealth, Business Consulting, Business Advisory, Private Clients, Transaction Support, Risk Services, and Business Recovery and Insolvency"
Grant Thornton Australia,https://www.grantthornton.com.au,,Accounting,"1,001-5,000 employees","Sydney, NSW",Privately Held,, ,-37.885039,140.618156,"Audit, Tax, and Advisory"
William Buck,http://williambuck.com,,Accounting,"501-1,000 employees","Sydney, NSW",Partnership,1895, ,-37.79215,148.554298,"Chartered Accounting, Business Advisory Services, Wealth Advisory Services, Superannuation, Audit & Assurance, Tax Services, Corporate Advisory Services, and Business Recovery Services"
AccountantJobs,http://www.AccountantJobs.com.au,,Accounting,11-50 employees,"Melbourne, Victoria",Privately Held,1998, , , ,"Business Services, Audit, Tax, Insolvency, and Superannuation"
BKR International,http://www.bkr.com,,Accounting,2-10 employees,,Nonprofit,1989, ,-37.687581,144.882238,"Auditing & Accounting, Information Technology, Business Consulting, Mergers & Acquisitions, Corporate Recovery, Operational Review, Analysis, Cost Segregation, Tax, Employee Benefits, Trusts and Estates, Forensic Accounting, Litigation Support, and Wealth Management"
RSM Australia,http://www.rsm.com.au,08 9261 9100,Accounting,"1,001-5,000 employees","Perth, WA",Partnership,1922, ,-23.992438,134.050443,"Assurance and Advisory, Business Advisory, Corporate Finance, Financial Services, Taxation Consulting, Restructuring and Recovery, Digital Consulting, Risk Consulting, and Digital Advisory"
Australian Accounting Standards Board,http://www.aasb.gov.au/,,Accounting,11-50 employees,"Melbourne, Victoria",,2000,"Podium Level, Level 14, 530 Collins Street, Melbourne, Victoria 3000, AU",-37.81804,144.956963, 
RSM INDONESIA,http://www.rsm.id,,Accounting,201-500 employees,,Partnership,1985, ,-34.752276,149.717624,"Audit Assurance, Governance Risk Control, Tax, Corporate Finance & Transaction Support, and Business Services"
ShineWing Australia,http://www.shinewing.com.au,,Accounting,201-500 employees,"Melbourne, Victoria",Partnership,, , , ,"Assurance and Advisory, Corporate Finance, Business Services, Private Clients and Wealth, and Taxation"
Befree - Bookkeeping | Accounting | BPO | Outsourcing,http://www.befree.com.au,1300 873 733,Accounting,201-500 employees,"Parramatta, NSW",Privately Held,2006, , , ,"Business Process Outsourcing, Taxation, Self Managed Superannuation, SMSF, Bookkeeping, Accounting, Back Office Services, MYOB, XERO, QuickBooks, Payroll, BAS, and Professional Services"
Audit Office of New South Wales,http://www.audit.nsw.gov.au,02 9275 7100,Accounting,201-500 employees,"Sydney, New South Wales",,,"Level 19, Darling Park Tower 2, 201 Sussex Street, Sydney, New South Wales 2000, AU", , ,accounting and auditing
National Tax and Accountants'​ Association - NTAA,http://www.ntaa.com.au,,Accounting,51-200 employees,"South Melbourne, VIC",Nonprofit,1992,"29-33 Palmerston Crescent, South Melbourne, VIC 3205, AU",-37.834003,144.970213,"Taxation, Accounting, Finance, and Training"
Pacific Accounting & Business Services Inc.,https://www.pacificabs.com/,(949) 456-0600,Accounting,201-500 employees,,Privately Held,2008, ,-27.93994,153.31436,"Accounting & Bookkeeping Services, Accounts Receivables, Reconciliation, Journal Entry, semi-annual and annual closing financial reports, Cash Flow Statement, and Financial closing (profit and loss, balance sheet, asset assessment, etc.)"
Institute of Public Accountants,http://publicaccountants.org.au,,Accounting,51-200 employees,"Melbourne, Victoria",Nonprofit,1923,"555 Lonsdale St, Melbourne, Victoria 3000, AU",-37.814242,144.956237,"taxation, small business, financial planning, auditing, superannuation, HR, membership, accounting, bookkeeping, SME, SMP, ethics, government lobbying, and professional education"
KordaMentha,http://www.kordamentha.com,,Accounting,201-500 employees,"Melbourne, VIC",Privately Held,2002,"Rialto South Tower, Level 31, 525 Collins Street, Melbourne, VIC 3000, AU",-37.818382,144.95731,"Corporate Consulting, Corporate turnaround and Restructuring, Real Estate, Forensic, and Investment management"
McGrathNicol,http://www.mcgrathnicol.com,,Accounting,201-500 employees,"Melbourne, VIC",Partnership,2004, , , ,"Advisory, Restructuring, Forensic, Governance, Risk & Compliance, Strategy & Business Improvement, Technology, Transactions, Restructuring, Special Situations, Turnaround, and Insolvency"
Crowe Horwath Australia,http://www.crowehorwath.com.au,,Accounting,"1,001-5,000 employees",,Public Company,1997,AU, , ,"Audit, Tax, Corporate Finance, Business Advisory and Compliance Services, Business Consulting, Expert Financial Evidence and Valuations, Benchmarking, Business Analytics, Wealth Management for Private Clients, Succession Planning, International Tax, SMSF, and Accounting"
The Azure Group,http://www.azuregroup.com.au,292381188,Accounting,11-50 employees,"Sydney, NSW",Privately Held,2002, ,-21.652462,150.248529,"Virtual CFO, Business Accounting, Taxation, Corporate Secretarial Services, Corporate Advisory Services, Wealth Services, Corporate Governance, Financial Reporting, Technology Accountant, M&A Transactions, International Tax, SMSF, R&D Tax Incentive, Employee Share Schemes, and Export Market Development Grants"
TaxAssist Accountants,http://www.taxassistfranchise.co.uk,0800 0523 555,Accounting,201-500 employees,,Privately Held,1995, ,-38.157143,144.350556,"Accountancy, Franchise, Taxation, Accounting Franchise, Payroll, VAT, Tax Advice, Small Businesses, Accountancy Network, Accounting, Accountants, Practice, Making Tax Digital, and Tax Franchise"
HLB Mann Judd,http://www.hlb.com.au,,Accounting,"501-1,000 employees","Sydney, New South Wales",Partnership,, , , ,"Audit & Assurance, Business Advisory Services, Tax Consulting, Wealth Management, Business Recovery, and Corporate Advisory"
Moore Australia,http://www.moore-australia.com.au,+61 03 9608 0100,Accounting,201-500 employees,,Public Company,1979,"Australia,   AU",-23.992438,134.050443,"Asia Desk, Audit & Assurance, Auditors, Chartered Accountant, Business Advisory, Corporate Affairs, Corporate Bookkeeping, Corporate Finance, Debt Advisory, Family Office, Forensic Accounting, Governance & Risk Advisory, Insurance Services, International Tax, Legal Services, Litigation, Migrant Advisory, Outsourced CFO, Property Advisory, Superannuation, Taxation, Valuations, and Wealth Management"
SV Partners,http://www.svpartners.com.au,1800 246 801,Accounting,51-200 employees,"Brisbane, QLD",Privately Held,2003, ,-27.47096,153.028163,"Corporate Insolvency, Personal Insolvency, Forensic Accounting, Turnaround Strategies, Advisory, Financial Stress Advice, DIY Members Voluntary Liquidation, Solutions by Situation, Shadow Expert Services, Business Valuations, and Economic Loss Analysis"
H&R Block Australia,https://www.hrblock.com.au,,Accounting,"501-1,000 employees","Thornleigh, NSW",Public Company,1971,"265 Pennant Hills Road, Suite 1, Thornleigh, NSW 2120, AU",-33.731384,151.08103,"Income Tax, BAS, GST, Shares & Investments, Investment Properties, Motor Vehicle Claims, Capital Gains, Bookkeeping, Deceased Estates, Sole Traders & Partnerships, SMSF, and Small Business"
Nexia Australia,http://www.nexia.com.au,,Accounting,"501-1,000 employees",,Partnership,1977, , , ,"Business Compliance, Business Consulting, Business Succession, Financial Services, Litigtation Support, Taxation Consulting, Family Office, Audit & Assurance, Hospitality Services, Corporate Advisory, Management Consulting, and Superannuation Solutions"
Perks,http://www.perks.com.au,,Accounting,51-200 employees,"Adelaide, SA",Privately Held,,"180 Greenhill Road, Adelaide, SA 5063, AU",-34.929075,138.602578,"Chartered Accountant, Business Advisory, Audit, Wealth Management, Finance, Personal Insurance, Taxation Advisory, Self-Managed Superannuation, Corporate Finance, People & Culture, and Accounting Software Solutions"
Mazars - Financial modelling,https://financialmodelling.mazars.com/,,Accounting,"10,001+ employees","North Sydney, New South Wales",Partnership,1945,"90 Arthur St, North Sydney, New South Wales 2060, AU",-33.840211,151.20947,"Financial modelling training, Excel training, Project finance training, and Public courses"
PKF Chartered Accountants & Business Advisers (Gold Coast),http://www.pkf.com.au/Locations/Gold-Coast,,Accounting,11-50 employees,"Surfers Paradise, QLD",Partnership,,"Level 5, RSL Centre, 9 Beach Road, Surfers Paradise, QLD 4217, AU",-27.998557,153.40731,"Business Advisory Services, Audit & Assurance, Tax Consulting, Superannuation, Financial Planning & Wealth Creation/Protection, Management Consulting, Corporate Advisory, Outsourcing, Corporate Secretarial, Organisation Development, Succession Management, and Divestments"
Bentleys Qld Pty Ltd,http://www.bentleys.com.au,07 3222 9777,Accounting,51-200 employees,"Brisbane, QLD",Partnership,1948, ,-24.53066,151.90685,"Tax advisory, Management & financial accounting, Business structuring & transactions, Business advisory & business valuations, Investigative accounting & insolvency services, Turnaround & recovery services, Financial viability & business review assessments, and Audit"
mhm,http://www.mhm.com.au,,Accounting,51-200 employees,,Privately Held,1992, , , ,Accounting and Corporate Finance and Management Consulting
Vincents,http://www.vincents.com.au,07 3228 4000,Accounting,201-500 employees,"Brisbane, QLD",Privately Held,1989, , , , 
KPMG Tax Now Insights,http://www.kpmg.com/AU/taxnow,,Accounting, ,,,,"727 Collins St, Docklands, Victoria 3008, AU", , , 
CIB Leading Accountants & Business Advisers,http://www.cibaccountants.com.au,,Accounting,11-50 employees,"Parramatta, New South Wales",Partnership,1985,"Suite 6, Blaxland House, 5-7 Ross Street, Parramatta, New South Wales 2150, AU",-33.817556,151.00238,"Accounting, Audits, Financial Planning, Wealth Management, IT services, and Finance"
ESV - Business advice and accounting,https://www.esvgroup.com.au,+612 9283 1666,Accounting,51-200 employees,"Sydney, New South Wales",Privately Held,1990,"68 York St, Level 13, Sydney, New South Wales 2000, AU", , ,"Taxation advice, local and international, auditing, financial planning, asset protection, wealth creation, business structure and restructure advice and due diligence, to a diverse range of clients., Business advice, and Advisory"
TAPS The Association for Payroll Specialists,http://www.payroll.com.au,,Accounting,11-50 employees,"Sydney, NSW",Privately Held,1990, ,-42.888264,147.336172,"Membership, Recruitment, Payroll Training, and Formal Qualifications in Payroll"
Bentleys NSW Pty Limited,http://www.bentleys.com.au,+61 2 9220 0700,Accounting,51-200 employees,"Sydney, NSW",Privately Held,2010,"Level 14, 60 Margaret Street, Sydney, NSW 2000, AU",-33.86477,151.206776,"Accounting and Business Advisory, Audit and Assurance, Taxation Consulting, Superannuation, Business Establishment, Trusts and Estates, Succession Planning, Outsourcing (e.g Payroll / CFO), Training, Bookkeeping , International Tax, Business Services, Business Advisory, Self Managed Superannuation Funds, and Internal Audit"
Platinum Accounting Australia,http://www.platinumaccg.com.au/,,Accounting,11-50 employees,"Surry Hills, NSW",Privately Held,2009, ,-32.010006,115.835082,"Tax Returns, Tax Advice, Accounting services, Bookkeeping, and Structuring advice"
Accountancy Insurance,http://www.accountancyinsurance.com,,Accounting,51-200 employees,"South Melbourne, Victoria",Privately Held,2003, ,-37.808844,144.985305,"Tax Audit Insurance, Professional Indemnity, and Cyber Insurance"
Ferrier Hodgson,http://www.ferrierhodgson.com,,Accounting,201-500 employees,"Sydney, New South Wales",Partnership,1976, ,-23.63259,116.3033,"Advisory, Forensic IT, Restructuring, turnaround and insolvency, Transaction services, Forensic accounting, Management Consulting, Digital , Analytics, Cyber, Performance improvement, Safe Harbour, cyber security, and Digital transformation"
Panalitix,http://www.panalitix.com,61 7 3184 4052,Accounting,11-50 employees,"Brisbane, Queensland",Partnership,2005, , , ,"Software, Coaching, Content, Events, Accounting, Business, and Technology"
PKF Sydney & Newcastle,http://www.pkf.com.au,,Accounting,201-500 employees,"Newcastle West, NSW",Partnership,1977, , , ,"Audit & Assurance, Business Advisory Services, Business Recovery & Insolvency, Coporate Advisory Services, Financial Planning, Forensic Accounting, Franchise Services, Hospitality Services, Superannuation Strategy & Management, Taxation Services, and Mining Services"
Australian Chapter of The Institute of Chartered Accountants of India,http://www.icai.org.au,,Accounting,11-50 employees,,Nonprofit,,"2135, AU",-33.878639,151.081841, 
PPB Advisory,http://www.ppbadvisory.com,,Accounting,201-500 employees,"Sydney, NSW",Partnership,, ,-30.707151,152.920975,"Corporate advisory, Disputes &  Valuations, Investigations / fraud & technology risk management, Insolvencies, Enterprise enhancement, Technology enabled transformation, Strategic reviews, Target operating model, Physical asset management, and Performance improvement"
