Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
Credit Suisse,http://www.credit-suisse.com/,,Banking,"10,001+ employees", ,Public Company,1856,"Level 31/1 Macquarie Pl, Sydney NSW 2000, Australia",-33.8618,151.209765,Private Banking & Wealth Management and Investment Banking
RBC,http://www.rbc.com,,Banking,"10,001+ employees", ,Public Company,, ,-34.638899,142.775946,"finance, banking, investing, insurance, financial planning, wealth management, and capital markets"
ANZ,http://www.anz.com,,Banking,"10,001+ employees","Melbourne, Victoria",Public Company,,"833 Collins Street, Docklands, Melbourne, Victoria 3008, AU",-37.821663,144.945748,"Retail Banking, Private Banking, Commercial Banking, Wealth Management, and Institutional Banking"
Rabobank,http://www.rabobank.com,,Banking,"10,001+ employees","Utrecht, Utrecht",Privately Held,, ,-30.516269,151.670489,"Bankieren, Vermogensbeheer, Leasing, Verzekeren, Vastgoed, Advies, Hypotheken, Beleggen, Sparen, Internetbankieren, and Mobielbankieren"
NAB,http://www.nab.com.au,,Banking,"10,001+ employees","Melbourne, Victoria",Public Company,, ,-38.14718,144.361529,Retail & Wholesale Banking and Financial Products and Services
Westpac,http://www.westpac.com.au,,Banking,"10,001+ employees","Sydney, NSW",Public Company,1817,"Head Office: 200 Barangaroo Avenue, Sydney, NSW 2000, AU",-33.868125,151.207973,"banking, financial services, institutional banking, corporate banking, migrant banking, business banking, personal banking, Private Bank, and Agribusiness"
Investec,https://invest.ec/2IR9Xhz,,Banking,"10,001+ employees",,Public Company,1974, , , ,"Banking Services, Financing and Lending, Investing, Advisory Services, Trust, Property Acquisition and Development, Treasury and Trading, Wealth and Investment, and Private Banking"
ING Australia,http://www.ing.com.au,,Banking,"1,001-5,000 employees","Sydney, NSW",Public Company,1999,"60 Margaret St, Sydney, NSW 2000, AU",-33.86477,151.206776, 
Reserve Bank of Australia,http://www.rba.gov.au,,Banking,"1,001-5,000 employees","Sydney, NSW",,,"65 Martin Pl, Sydney, NSW 2000, AU",-33.868177,151.211669,"Monetary Policy, Market Operations, Financial Stability, Payments System, Financial Services, and Banknotes"
ME Bank,http://www.mebank.com.au/careers,,Banking,"1,001-5,000 employees","Melbourne, Victoria",Privately Held,1994,"Level 28, 360 Elizabeth St, Melbourne, Victoria 3000, AU",-37.810952,144.96193,"Banking, Finance, and Lending"
Judo Bank,https://www.judo.bank,13 58 36,Banking,51-200 employees,"Southbank, Victoria",Privately Held,2016, ,-38.382704,142.233177,"Providing finance to Australian businesses, SME Business loans, Business Loans, business banking, Banking, and Business finance"
St.George Bank,http://www.stgeorge.com.au,,Banking,"5,001-10,000 employees","Sydney, NSW",Public Company,1937,"200 Barangaroo Avenue, Sydney, NSW 2000, AU",-33.868633,151.209421,"Home Lending, Business Banking, Personal Banking, and Corporate Banking"
Bendigo and Adelaide Bank,http://www.bendigoadelaide.com.au,,Banking,"5,001-10,000 employees","Bendigo, Vic",Public Company,1858,"The Bendigo Centre, PO Box 480, Bendigo, Vic 3552, AU",-36.75698,144.27957,Retail Banking
Up Banking,https://up.com.au,,Banking,51-200 employees,,Privately Held,2017,"Melbourne,   AU",-37.825071,144.978682,"User Experience, Budgeting, Banking, Fintech, Payments, Spending, and Saving"
Bendigo Bank,https://www.bendigobank.com.au/,,Banking,"1,001-5,000 employees","Bendigo, Victoria",Public Company,1858, ,-37.863179,145.078665, 
Westpac Institutional Bank,http://www.westpac.com.au/corporate-banking,,Banking,"5,001-10,000 employees","Sydney, New South Wales",Public Company,1817,"275 Kent St, Sydney, New South Wales 2000, AU",-33.866037,151.203864, 
Volt Bank,https://www.voltbank.com.au/,272025118,Banking,51-200 employees,"North Sydney, New South Wales",Privately Held,2017,"41 McLaren St, North Sydney, New South Wales 2060, AU",-33.835412,151.208741,"finance, digitalbank, banking, and neobank"
Bank of Melbourne,http://www.bankofmelbourne.com.au,,Banking,"1,001-5,000 employees","Melbourne, Victoria",Public Company,2011,"Locked Bag 20037, Melbourne, Victoria 3000, AU",-37.813046,144.962398,"Personal Banking, Business Banking, Insurance, and Home Lending"
Teachers Mutual Bank Limited,http://www.tmbl.com.au,13 12 21,Banking,"501-1,000 employees","Homebush, NSW",Public Company,1966, ,-33.864107,151.084648,"Transaction accounts, Savings accounts, Home loans, Personal loans, Car loans, Credit cards, Mobile lending, Car insurance, Home insurance, Life insurance, Financial planning, Travel services, Teachers Car Buying service., Banking, and Finance"
Heritage Bank,http://www.heritage.com.au/,,Banking,"501-1,000 employees","Toowoomba, QLD",Privately Held,1875,"400 Ruthven Street, Toowoomba, QLD 4350, AU",-27.564533,151.95552, 
CUA - Credit Union Australia Limited,http://www.cua.com.au,133 282,Banking,"501-1,000 employees","Brisbane, Queensland",Privately Held,1946,"145 Ann St, Brisbane, Queensland  AU",-27.467813,153.024653,Financial Services and banking
UBank,http://www.ubank.com.au,,Banking,201-500 employees,"North Sydney, NSW",Privately Held,2008,"Level 4, 116 Miller Street, North Sydney, NSW 2060, AU",-33.837241,151.206877, 
IMB Bank,http://www.imb.com.au,133 462,Banking,"501-1,000 employees","Wollongong, NSW",Privately Held,1880,"253 Crown Street, Wollongong, NSW 2500, AU",-34.425523,150.892001, 
Bank Australia,http://www.bankaust.com.au,132 888,Banking,201-500 employees,"Kew, Victoria",Privately Held,1957,"222 High Street, Kew, Victoria 3101, AU",-37.80629,145.032694,"Banking, Responsible investment, and General insurance"
BankSA,http://www.banksa.com.au,,Banking,"1,001-5,000 employees","Adelaide, South Australia",Public Company,1848,"97 King William Street, Adelaide, South Australia 5000, AU",-34.925156,138.599049,"Home Lending, Agribusiness, Business banking, and Personal banking"
Bank of Sydney,https://www.banksyd.com.au/,139500,Banking,201-500 employees,"Sydney, New South Wales",Privately Held,2001,"62 Pitt St, Sydney, New South Wales 2000, AU",-33.864551,151.209031,"Relationship Banking, Commercial and Business Banking, Trade Finance, and Construction Finance"
Newcastle Permanent Building Society,http://www.newcastlepermanent.com.au,,Banking,"501-1,000 employees","Newcastle, NSW",Privately Held,1903,"307 King Street, Newcastle, NSW 2302, AU",-32.92869,151.767377,"Personal Banking, Business Solutions, Home Loans, Community, and Financial Planning"
Rabobank Australia,https://www.rabobank.com.au/,,Banking,"1,001-5,000 employees","Sydney, NSW",Public Company,,"201 Sussex Street, Sydney, NSW 2000, AU",-33.872068,151.203425, 
Greater Bank,https://www.greater.com.au,1300 651 400,Banking,"501-1,000 employees","Hamilton, NSW",Privately Held,1945,"103 Tudor Street, Hamilton, NSW 2303, AU",-32.924299,151.746493,"banking, home loans, personal loans, everyday banking, savings accounts, credit cards, mobile banking, online banking, insurance, and travel services"
Beyond Bank Australia,http://www.beyondbank.com.au,,Banking,"501-1,000 employees","Adelaide, South Australia",Privately Held,1958,"100 Waymouth Street, Adelaide, South Australia 5000, AU",-34.925205,138.596254,"Banking, Financial Planning, Financial Services, Superannuation, and Insurance"
Bank of China - Australia,http://www.bankofchina.com/au/en/index.html,,Banking,"501-1,000 employees","Sydney, New South Wales",Privately Held,1942, ,-31.954187,115.854367,"Banking, RMB Clearing, Corporate Financing, RMB Trade Finance, Financial Services, Bank Cards, AUD Clearing, ATM, Syndicated Loans, Trade Finance, Internet Banking, Transaction Banking, Structured Finance, Home Loans, Finance, Personal Banking, and Credit Admin"
Syncordis,http://www.syncordisconsulting.com,,Banking,201-500 employees,,Privately Held,2004, , , ,"T24, Regulatory requirements, Temenos Banking Software Suites implementation and production services, Triple'A Plus, TCIB, Analytics, Retail, Wealth Management, Temenos Infinity Wealth, Temenos Transact, Managed Services, Production Support, Risk and Compliance, Temenos DataSource, SaaS, and BaaS"
Community Sector Banking, ,,Banking,0-1 employees,,Privately Held,,"Melbourne,   AU",-37.825071,144.978682, 
Auswide Bank Ltd,http://www.auswidebank.com.au/,,Banking,201-500 employees,"Bundaberg, Queensland",Public Company,1966,"16-20 Barolin Street, Bundaberg, Queensland 4670, AU",-24.866966,152.350375,"Home Loans, Car & Personal Loans, Personal & Business Banking, Insurance, and Term Deposits"
