Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
L'Oréal,http://www.loreal.com,,Cosmetics,"10,001+ employees","Paris, France",Public Company,1909, , , ,"Beauty, Cosmetics, Personal Care, Consumer Products, Luxury, Pharmacy, research, innovation, digital, retail, marketing, operations, engineering, and tech"
Coty,http://www.Coty.com,,Cosmetics,"10,001+ employees","Amsterdam, North Holland",Public Company,1904, , , ,"Fragrances, Color Cosmetics, and Skin & Body Care"
Clarins,http://www.groupeclarins.com,,Cosmetics,"5,001-10,000 employees",,Privately Held,1954, ,-31.940785,115.973774,"Skin Care, Makeup, Body, Spa, Sun Products, Men's Skin Care, Self Tanner, Beauty, Luxury Cosmetics, Sustainable Development, and Prestige Cosmetics"
Aesop,https://www.aesop.com/r/careers,,Cosmetics,"1,001-5,000 employees","Collingwood, VIC",Privately Held,1987, ,-37.804999,144.949438,"Skin care, Hair care, and Body care"
AMOREPACIFIC,http://www.apgroup.com/int/en,,Cosmetics,"10,001+ employees","Seoul, Korea",Public Company,1945, , , ,"Beauty, Health, Cosmetics, Asia, K-Beauty, Global Brand, Green Tea, Perfume, Inner Beauty, Sustainability, R&D, Skin Care, Woman, and Environment"
Oriflame Cosmetics,https://corporate.oriflame.com/Career/Career,,Cosmetics,"5,001-10,000 employees",,Public Company,1967, ,-37.800587,144.899731,"Beauty Products, Direct Sales, Wellness Products, Skin care , Colour Cosmetics, Accessories, Lifestyle, Cosmetics Science, Research & Development, Hair Care, Personal Care, Fragrance, Entrepreneurship, Beauty, Wellness, Social Selling, Direct Selling, and Software"
SeneGence International,https://senegence.com,(949) 521-6161,Cosmetics,201-500 employees,"Foothill Ranch, CA",Privately Held,1999, ,-28.008835,153.404325, 
KORA Organics,http://koraorganics.com,,Cosmetics,11-50 employees,,Privately Held,2009, ,-23.87732,151.247376, 
frank body,http://www.frankbody.com,,Cosmetics,11-50 employees,"Cremorne, Victoria",Privately Held,2013, ,-34.35771,146.902119,"Naturally derived skincare, Body scrubs, Coffee, and Babes"
Jurlique,http://www.jurlique.com.au,,Cosmetics,"501-1,000 employees","Adelaide, South Australia",Privately Held,1985, ,-34.922786,138.601408,"Natural Skincare, Natural Expertise, Commitment to Environmental Sustainability, Innovation in Well Being, Biodynamic, Biodynamic Farming, Australian Beauty, and Australian Made Skin Care"
LUSH Fresh Handmade Cosmetics Australia and New Zealand,http://www.lush.com.au,,Cosmetics,"501-1,000 employees","Sydney, NSW",Privately Held,1995,"1A 74-76 Bileola Avenue, Villawood, Sydney, NSW 2163, AU",-33.884954,150.984679,"Fresh Handmade Cosmetics, Cruelty-free cosmetics, Fresh ingredients, Essential oils, Campaigning, Locally-made cosmetics, Ethical buying and supply chain management, and Charitable giving"
Maison 21G,https://maison21g.com/,,Cosmetics,11-50 employees,,Self-Employed,2018, ,-37.628075,145.075764,"perfume, scent designer, haute perfumerie, cleanbeauty, sustainibilty, bespoke, natural ingredients, womenfragrance, menfragrance, corporatefragrance, and bespokescent"
Lucas Meyer Cosmetics,http://bit.ly/2o7qRMI,,Cosmetics,51-200 employees,,Privately Held,1999, ,-37.54572,143.7758,"Cosmetic active ingredients, Australian native plant extracts, Functionnal ingredients, Vegetable oils, Delivery systems, Essential oils, Exfoliants, Formulation support, Biomimetic peptides, and Phospholipids"
Napoleon Perdis Cosmetics,http://napoleonperdis.com,1300 625 387,Cosmetics,51-200 employees,"Rosebery, New South Wales",Privately Held,1995,"85-113 Dunning Ave, B3, Rosebery, New South Wales 2018, AU",-33.917685,151.205569,"Red carpet trends to reality, Distribution, and Marketing"
MARQ Labs,https://marqlabs.com/,1(800) 914-3880,Cosmetics,51-200 employees,,Privately Held,2009, ,-32.005732,115.895705,"Beauty Brands, Creative Agency, Research & Development, Digital Marketing, Contract Manufacuring, Product Packaging, R&D Formulations, Branding, Distribution, Logistics, Skincare, Sunless Tanning, Body Care, Pet Care, and Personal Care"
VANITY GROUP,http://www.vanitygroup.com,,Cosmetics,51-200 employees,"Marrickville, NSW",Privately Held,2011,"4-6 Meeks Road, Marrickville, NSW 2204, AU",-33.910763,151.162884,"Hotel Amenities, Beauty Retail, Skin care, Hair care, Body care, Luxury, Supplier, Fragrance, Luxury amenities, R&D, Clean formulations, Bath and body, Innovation, EcoPure, Corporate responsibility, Paraben free, and Eco responsibility"
