Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
Entertainment Assist,https://www.entertainmentassist.org.au/,,Entertainment,2-10 employees,"South Yarra, VIC",Nonprofit, ,"Level 1, 500 Chapel Street, South Yarra, VIC 3141, AU",-37.842496,144.995216,"mental health, entertainment industry, wellness, mental health training, research, performing arts, and peer to peer collaboration"
Entertainment Group,http://www.entertainmentbook.com.au,,Entertainment,51-200 employees,"The Rocks, New South Wales",Public Company,1994,"Level 5, 68 Harrington St, The Rocks, New South Wales 2000, AU",-33.860796,151.208058,"Fundraising, Publishing, Marketing, sales, and loyalty"
Entertainment Solutions Sydney,http://www.entertainmentsolutionssydney.com,411423258,Entertainment,11-50 employees,"Winston Hills, NSW",Privately Held,2011,"Winston Hills, NSW  AU",-33.7782,150.981971,"Live Music, Karaoke, Trivia, Private Functions, Corporate Functions, Entertainment, Event Management, Venue Consultation, DJ, Bands, Soloist, Duos, and Trios"
Entertainment Adelaide,http://www.entertainmentadelaide.com.au,,Entertainment,2-10 employees,,Privately Held,2004,"Adelaide,   AU",-34.929075,138.602578,"Professional DJ's, Professional MC's, Live Percussionist's (Bongo's), Photobooths, Dancefloors, Lighting & Effects, Staging, and Indoor & Outdoor Fireworks"
Grayboy Entertainment,http://www.Grayboy.com,+61.7.55076900,Entertainment,11-50 employees,"Sydney, NSW",Privately Held,1992, ,-19.55592,127.662173,"Production show creation, Supply of specialty entertainers, Musical Theatre talent, Production management, Australian Entertainment Industry Association (member), and events"
Event Hospitality & Entertainment Limited,http://www.evt.com,,Entertainment,"5,001-10,000 employees","Sydney, NSW",Public Company,1910,"478 George Street, Sydney, NSW 2000, AU",-33.87159,151.207386,"Entertainment - Cinema & Performance Theatre, Hospitality - Hotels, Resorts, Restaurants & Bars, Resort management, and Cinema Digital Technology"
NOVA Entertainment,http://www.novaentertainment.com.au,,Entertainment,"501-1,000 employees","Pyrmont, NSW",Privately Held,2014,"Level 5, 33 Saunders Street, Pyrmont, NSW 2009, AU",-33.870064,151.190324,"TV, Radio, Digital, and Media"
Entertainment Technology Australia,http://www.etaust.com,,Entertainment,2-10 employees,"Preston, Victoria",Sole Proprietorship,2010,"Unit 2016, 181 Bell Street, Preston, Victoria 3072, AU",-37.746371,145.01244,"Lighitng, Audio, Visual Technology, Project Consultation, and LED Systems"
The Entertainment Store,http://entertainmentstore.com.au,,Entertainment, ,"Melbourne, Victoria",,, , , , 
Entertainment Advocate,http://www.entertainmentadvocate.com,,Entertainment,2-10 employees,"Sydney, NSW",Privately Held,,"Sydney, NSW  AU",-33.868633,151.209421, 
Entertainment Dance Creations ,http://www.entertainmentdancecreations.com,422497318,Entertainment,11-50 employees,"Carnegie, Victoria",Self-Employed,2013,"Arawatta St, 17, Carnegie, Victoria 3163, AU",-37.892883,145.056115, 
Chugg Entertainment,http://www.chuggentertainment.com,,Entertainment,11-50 employees,"Sydney, NSW",Privately Held,2005,"490 Crown Street, Surry Hills, Sydney, NSW 2010, AU",-33.88674,151.214018,International Artist Touring and Music Festivals
Ambience Entertainment,http://www.ambienceentertainment.com,,Entertainment,11-50 employees,"Sydney, NSW",Privately Held,1989,"Artarmon, Sydney, NSW 1570, AU", , ,"Kids Entertainment, Film and Television, and Family Entertainment"
MTA Entertainment and Events,http://MusicTheatreAustralia.com.au,,Entertainment,2-10 employees,"SOUTHBANK, Victoria",Privately Held,,"Level 1, 68 Clarke Street, SOUTHBANK, Victoria 3006, AU", , ,"Corporate entertainment, Celebrities, speakers and comedians, Team building, and Entertainment and event solutions"
Chief Entertainment,http://www.chiefentertainment.com.au,,Entertainment,51-200 employees,"Artarmon, NSW",Privately Held,2000,"Level 4, 4 Broadcast Way, Artarmon, NSW 2064, AU",-33.820408,151.185552, 
Sydney Entertainment Centre,http://sydentcent.com.au,,Entertainment,11-50 employees,"Sydney, New South Wales",Public Company,1983,"35 Harbour Street, Sydney, New South Wales 2000, AU", , ,"Entertainment, Music, Sport, and Concerts"
Pace Entertainment Group,tel:0449896085,,Entertainment,2-10 employees,"Gold Coast, QLD",Privately Held,2013, ,-27.515251,153.146618,Theatre Entertainment Producer and Event Promoter
Gala Entertainment Management,http://www.galaentertainmentmanagement.com,,Entertainment,"1,001-5,000 employees",,Privately Held,2001,"Po Box 6096, Coffs Harbour Plaza, Coffs Harbour, N.S.W 2450, AU",-30.314533,151.762883,"talent agency, events, management, concerts, impersinators, producing, choreographers, riggers, rigging, and visa"
Entertainment Masters,http://entertainmentmasters.innovations.com.au,,Entertainment, ,,,, , , , 
Maslow Entertainment,http://www.maslowentertainment.com,,Entertainment,2-10 employees,"Sydney, New South Wales",Privately Held,2020,"Sydney, New South Wales  AU",-33.868633,151.209421,"Film Distribution, Film Marketing, Film Industry, Cinema, VOD, Home Entertainment, Production Development, Script Consultation, Pitch Development and Advice, and Market Positioning and Audience Insight"
Entertainment Bureau,http://entertainmentbureau.com.au,,Entertainment, ,"Ermington, New South Wales",,, , , , 
Exotixxx Entertainment Pty Ltd,http://www.exotixxx.com.au,,Entertainment,2-10 employees,"Brisbane, QLD",Public Company,2014, , , ,"Adult Industry, Adult Entertainment, Entertainment Service, Topless Waitresses, Waitresses, Promotion, Advertising, Performer, Dancers, Strip shows, Rind Card Girls, and Models"
Entertainment Works Australia,http://entertainmentworks.com.au,,Entertainment, ,,,, , , , 
Entertainment Now,http://entertainmentnow.com.au,,Entertainment, ,,,, ,-19.55592,127.662173, 
Entertainment Resource Directory, ,,Entertainment, ,"Broadway, New South Wales",,, , , , 
Entertainment Quarter Fox Studios, ,,Entertainment, ,"Moore Park, New South Wales",,, ,-33.893002,151.225205, 
Melbourne Entertainment Company,http://www.melbourneentertainmentco.com.au,1300 858 981,Entertainment,2-10 employees,"MELBOURNE, VIC",Privately Held,2011,"12/78 AUBURN ROAD, HAWTHORN, MELBOURNE, VIC 3122, AU",-37.821202,145.045044,"DJ Entertainment, Photography, Live Entertainment, DJ Lessons, Bands, Musicians, Saxophonists, Percussionists, Singers, Acoustic Duos, Jazz Bands, Guitarists, Pianists, MCs, DJ Sax, DJ Singers, DJ Percussionists, Weddings, Corporate Events, Christmas Parties, Birthdays, and Acoustic Soloists"
One Round Entertainment ,http://www.oneroundentertainment.com.au,406427785,Entertainment,2-10 employees,"Maroubra, New South Wales",Sole Proprietorship,2017,"Maroubra, Maroubra, New South Wales 2035, AU",-33.942981,151.239219,"hip hop, Events, weddings, entertainment, musicians, house, and party"
